weight,height,color,no_of_wheels,vehicle_type
1070,169,green,2,car
1158,165,blue,2,car
2442,179,blue,2,bike
2895,130,green,2,bike
1040,187,red,2,car
1817,105,red,2,bike
2728,176,blue,2,bike
1029,126,red,2,car
2750,197,blue,2,bike
2723,129,blue,2,bike
1789,155,blue,4,car
1836,131,red,2,car
2706,121,red,4,bike
2250,171,green,2,bike
2799,196,blue,4,bike
1686,137,green,4,car
2487,124,blue,2,car
2873,166,blue,2,bike
1542,128,blue,2,bike
1040,112,green,4,bike
1853,181,red,2,bike
2922,181,green,2,bike
1993,100,blue,2,bike
2663,100,blue,2,car
2877,165,green,4,car
1875,119,blue,4,bike
1678,116,blue,2,bike
1613,124,green,2,car
2068,127,green,2,bike
1491,191,blue,4,car
2282,178,red,4,bike
1268,160,blue,4,car
1275,122,blue,2,bike
2329,128,green,4,car
1563,125,red,4,bike
1753,183,blue,2,bike
1070,190,green,4,car
1335,178,blue,4,car
2932,119,red,2,car
2200,156,red,4,bike
2807,194,green,4,bike
2354,139,blue,2,car
2147,166,green,2,bike
2385,111,green,2,bike
1622,110,blue,2,bike
1292,130,blue,4,bike
1205,195,blue,2,car
1321,117,green,4,bike
1972,193,green,2,car
1572,163,blue,2,bike
2407,169,red,2,car
1713,197,green,2,bike
2766,127,red,2,bike
1264,171,red,4,bike
2727,178,blue,2,car
2504,139,blue,2,bike
1399,198,red,2,bike
2918,135,red,4,car
2065,200,green,4,car
1348,190,green,2,bike
2008,131,blue,4,car
2727,109,red,2,car
2134,172,green,4,bike
1688,191,red,2,car
1033,105,red,4,bike
2206,175,red,2,bike
1178,102,green,2,car
2065,135,red,4,bike
2142,149,blue,2,car
2516,111,green,2,car
2328,181,green,2,bike
2149,124,red,2,bike
2487,171,green,4,car
1614,192,red,2,bike
2169,118,red,4,bike
2931,160,blue,2,car
1803,167,green,4,car
2243,198,blue,2,car
2086,168,red,4,bike
1264,134,green,2,bike
1860,176,blue,4,bike
1887,118,green,2,bike
1847,118,red,4,car
1670,192,blue,4,car
1201,165,blue,2,car
2079,122,blue,4,car
2400,190,red,4,car
2733,141,red,2,car
1760,143,red,2,car
2148,135,blue,2,car
2662,117,blue,4,bike
2027,184,blue,2,car
1818,123,red,2,bike
1025,174,blue,2,bike
2038,170,green,4,car
1227,151,green,4,car
1626,104,green,4,car
1465,163,green,2,bike
1883,146,green,2,car
2057,101,blue,4,car
2585,186,red,4,bike
1859,121,green,2,car
1282,174,blue,4,car
2919,151,green,2,bike
1112,171,blue,4,car
1665,188,green,4,car
2258,109,red,2,car
1686,133,red,2,car
1538,194,green,2,bike
1593,175,red,2,bike
2635,170,red,4,car
1837,177,green,4,bike
2259,155,blue,4,bike
2148,153,green,2,car
1151,183,green,2,bike
2319,137,green,4,bike
1104,148,blue,2,car
2739,173,blue,4,bike
1460,136,blue,2,bike
2606,163,green,2,car
1531,174,blue,4,car
2699,187,blue,4,car
2521,174,blue,4,car
2819,181,red,4,car
1904,105,blue,2,bike
1589,173,green,4,bike
2919,200,blue,4,car
2322,172,green,2,car
2933,158,green,4,car
1484,120,red,2,bike
2390,100,green,4,bike
2063,150,blue,2,bike
1509,143,green,2,car
2240,110,blue,2,bike
2061,116,blue,2,bike
2021,162,blue,4,car
2958,187,red,4,car
2475,151,blue,4,bike
1591,140,blue,4,car
1525,191,red,4,bike
2019,140,blue,2,car
1958,152,red,2,bike
2048,144,blue,2,bike
2357,197,blue,4,bike
1902,118,red,4,bike
2050,104,blue,2,bike
1936,190,green,4,bike
1070,135,blue,2,car
1262,119,red,4,bike
1862,177,blue,4,car
1265,178,blue,4,car
2890,198,blue,2,car
2122,118,red,2,bike
2351,174,blue,4,car
2493,120,green,2,bike
3000,159,red,4,car
2259,146,green,2,car
1204,116,green,2,bike
2253,140,green,2,bike
2285,115,blue,4,car
1172,176,green,4,bike
2628,128,red,4,car
2885,124,green,4,bike
2533,163,green,4,bike
1848,103,blue,2,bike
2696,146,blue,2,car
2754,105,red,2,car
2485,129,blue,2,car
2717,148,red,4,car
2391,118,red,4,bike
2859,111,green,4,bike
1996,105,blue,2,bike
2421,141,green,4,bike
2336,154,blue,4,car
1435,110,green,2,car
2925,127,red,2,bike
1611,182,blue,4,car
1229,106,green,4,car
2071,106,green,4,bike
2427,163,green,4,bike
1375,198,blue,2,car
1623,112,red,2,car
1679,141,red,2,bike
2050,159,blue,4,bike
2657,152,green,4,car
1900,112,blue,4,car
2570,171,red,4,bike
2542,147,green,4,car
1118,110,green,2,bike
1717,113,green,4,car
1353,169,blue,4,bike
1098,159,red,2,bike
1610,159,blue,4,car
1605,161,blue,4,car
1416,158,red,4,car
1993,189,red,2,car
2953,105,red,4,car
1616,120,red,2,car
2229,168,red,4,car
1889,115,blue,2,car
2043,170,blue,2,car
1932,118,green,4,car
2481,162,blue,4,car
1097,156,blue,4,bike
2687,135,red,2,car
2455,110,red,2,bike
1739,160,red,2,car
1784,163,green,4,car
2757,103,red,4,bike
2760,112,blue,2,bike
2493,127,blue,2,car
2074,169,green,2,car
2350,155,red,2,car
2527,191,blue,2,car
2855,155,green,4,bike
1904,197,red,2,bike
2387,132,blue,4,bike
2443,198,red,4,bike
2295,141,green,2,car
1714,159,red,4,bike
2512,172,red,2,car
1601,170,blue,4,car
1160,195,blue,2,bike
1974,131,blue,2,car
2823,142,red,4,car
2019,171,blue,4,car
1508,143,blue,2,bike
1395,100,blue,2,car
1032,108,blue,4,bike
2260,186,blue,4,bike
1656,152,green,2,bike
2912,124,green,4,bike
2014,144,blue,4,car
1395,146,green,2,bike
1233,184,green,4,bike
2424,200,red,4,bike
1286,186,blue,2,car
2169,107,green,2,car
1303,176,red,2,car
1748,137,blue,2,bike
2900,131,green,2,car
1631,121,blue,2,car
1478,108,red,4,car
2368,114,green,2,car
2068,178,green,2,bike
1482,186,red,2,bike
2137,163,red,2,bike
2970,144,green,4,car
2425,196,green,4,car
2196,118,green,4,car
1586,122,blue,4,bike
2654,190,blue,2,bike
2632,131,green,2,car
1681,104,green,4,car
2683,138,red,4,car
2399,181,green,2,car
2745,193,red,4,car
2836,176,green,4,car
1496,155,blue,2,bike
1156,190,green,4,car
2299,164,green,2,car
2909,100,red,4,car
1777,146,blue,4,car
2978,180,green,2,car
2173,144,blue,2,car
1726,134,blue,2,car
2520,145,red,2,car
2330,188,green,4,car
2687,188,blue,4,car
1893,140,red,2,car
2961,195,red,2,car
1658,140,red,4,bike
1206,197,green,2,car
1471,154,green,2,car
2787,187,red,4,car
2604,149,green,2,car
2042,120,blue,4,car
1146,176,green,4,car
2675,175,red,4,car
2427,192,green,2,bike
2936,123,blue,4,bike
1386,150,blue,2,bike
2720,114,red,4,car
2388,182,red,2,car
1308,142,green,4,bike
1977,131,blue,4,car
1237,133,red,2,bike
1658,146,green,4,bike
1643,117,red,4,bike
2058,100,red,4,car
1576,140,red,4,bike
1630,192,blue,4,bike
2924,116,red,2,bike
2713,119,green,4,car
1787,184,green,4,bike
2135,133,blue,2,bike
2373,144,red,2,car
1824,169,green,2,bike
1330,161,blue,2,car
1366,188,blue,4,car
2653,172,red,2,bike
2075,197,green,4,bike
1397,167,green,2,car
2373,136,green,4,bike
2324,169,red,4,car
1595,141,blue,2,bike
1541,131,blue,2,car
1757,178,red,4,car
2731,154,red,4,bike
1156,197,blue,4,bike
1286,107,blue,4,bike
1216,162,green,4,car
2509,171,green,2,car
1793,147,blue,4,car
2938,179,red,2,bike
2586,152,green,2,bike
1937,108,blue,2,bike
1235,170,green,4,bike
1503,132,blue,2,car
1796,186,blue,4,bike
2072,108,blue,4,car
1027,192,green,2,car
1585,195,green,4,car
2579,170,blue,4,bike
2383,184,blue,2,car
1217,112,red,2,car
2037,169,red,2,car
1701,161,red,2,bike
1021,145,red,2,car
1949,137,blue,4,bike
1488,174,red,4,bike
1468,172,green,2,car
1361,190,green,2,bike
1095,132,green,4,car
2652,121,red,4,car
2846,134,red,4,car
2748,128,green,2,car
2229,125,red,4,car
2516,166,green,2,car
2520,117,green,4,bike
2738,166,green,2,bike
2896,179,green,2,car
1632,106,green,2,bike
2732,152,red,4,bike
2608,180,blue,2,car
1041,120,green,4,bike
1446,171,red,4,bike
2487,124,green,4,car
2421,198,red,2,bike
2639,173,green,2,car
1927,192,red,4,bike
2324,150,red,2,car
2057,191,blue,4,bike
2020,158,blue,4,bike
2177,126,red,4,car
1406,186,red,4,car
2135,128,red,2,bike
1056,200,red,2,bike
2278,169,blue,4,car
2137,142,green,4,bike
1436,118,blue,2,car
1346,185,blue,4,car
2791,132,green,2,bike
2476,151,blue,4,bike
2514,154,blue,4,bike
1805,188,red,2,bike
2837,150,red,2,car
2104,180,green,4,bike
2301,193,blue,4,bike
2271,188,blue,4,bike
2453,196,green,4,car
1853,174,red,2,car
1686,133,red,4,car
1263,169,red,2,bike
1841,169,blue,2,bike
2078,135,red,4,bike
1647,108,red,4,car
1311,104,green,4,car
1144,156,green,4,car
2924,107,green,2,car
1702,195,green,2,car
1533,147,red,4,car
2408,132,green,2,car
2387,113,blue,2,car
1003,167,blue,2,bike
1448,172,green,4,car
1360,160,blue,2,car
1227,175,blue,4,car
1206,152,green,2,bike
2194,190,blue,2,bike
2514,166,green,4,car
1452,179,green,2,bike
2089,173,green,4,bike
2439,112,green,2,bike
1495,121,green,4,car
1085,182,blue,4,bike
1690,145,red,2,car
1829,193,green,2,car
2220,156,green,4,car
1978,153,red,2,bike
1552,183,blue,2,bike
2794,143,red,2,bike
1282,107,red,4,car
1984,123,green,4,bike
2842,130,green,4,car
1209,118,red,2,car
1877,102,green,4,car
1824,114,blue,2,bike
2999,100,red,4,bike
2096,200,red,2,car
2894,138,red,2,car
1102,135,green,2,car
2823,109,blue,2,car
1439,179,blue,4,bike
2640,171,green,2,bike
1942,160,blue,2,car
2701,165,red,4,bike
2924,126,green,4,bike
1584,193,blue,2,car
2790,165,green,4,car
1623,106,green,2,bike
1684,184,green,2,bike
2127,118,green,4,car
2826,153,blue,4,car
2538,139,red,2,bike
2836,155,red,2,car
1805,142,green,4,bike
2557,121,green,2,car
2733,142,blue,4,bike
2527,133,blue,4,bike
2123,185,red,4,bike
2107,110,green,2,car
1162,101,red,2,bike
2769,170,blue,4,car
2969,184,green,2,bike
2321,172,green,2,bike
1106,126,green,2,bike
1863,126,green,2,car
1861,186,red,2,bike
1010,185,green,4,bike
1223,121,blue,2,car
2505,192,red,4,car
1929,127,blue,4,car
2251,181,blue,4,car
2972,177,green,4,bike
2366,157,blue,2,bike
1155,170,red,2,bike
2016,184,green,2,bike
2942,192,red,4,bike
1061,136,red,4,bike
2564,115,blue,2,car
2580,155,blue,2,car
1180,168,blue,4,car
1973,166,red,4,car
1015,180,green,4,bike
2773,128,green,2,car
2711,122,blue,2,car
1619,122,green,4,bike
1207,166,red,4,car
2538,172,blue,4,car
1363,101,blue,4,car
1207,110,red,4,car
2876,143,red,4,bike
1343,169,blue,4,car
1365,145,blue,2,car
2902,127,green,2,bike
2837,196,blue,4,car
1752,115,blue,2,bike
2399,135,blue,2,car
2372,185,blue,4,car
1718,105,red,2,car
1301,185,green,4,bike
1479,126,green,2,bike
2602,110,red,4,bike
2006,108,green,4,car
1647,170,red,2,bike
2210,174,red,2,bike
2496,191,red,2,bike
1056,157,green,4,car
1855,190,blue,2,car
2693,179,blue,2,bike
1189,146,green,4,bike
1978,124,green,2,bike
1726,110,blue,4,bike
1412,142,blue,4,car
1010,140,red,2,car
2396,153,green,2,car
2926,129,blue,4,bike
2237,156,blue,4,bike
1316,152,red,2,car
1842,100,blue,2,car
2486,192,blue,2,car
2204,161,green,4,car
2016,157,red,2,bike
2484,130,green,2,car
2163,193,blue,2,car
1774,108,green,2,car
2286,140,green,2,bike
1127,170,green,4,bike
2325,136,red,4,bike
1973,200,green,2,bike
2931,117,red,2,car
2342,145,green,2,car
1309,135,red,2,bike
2284,161,blue,4,bike
1495,153,green,4,car
1428,177,green,2,bike
1159,169,red,4,car
1312,169,red,4,car
2626,129,blue,4,car
1081,198,green,4,car
2081,176,blue,4,car
1349,100,green,4,bike
1472,130,red,2,car
1308,128,blue,2,bike
1551,176,red,4,car
1953,182,red,4,bike
1031,144,red,2,bike
1158,122,green,2,car
1249,129,green,2,bike
2866,183,blue,2,car
1747,129,red,2,car
2704,167,green,2,car
2746,195,blue,4,bike
1287,153,blue,2,bike
1989,152,blue,4,car
2730,139,red,2,car
2257,186,red,2,car
1947,125,green,4,bike
1549,178,red,4,car
2549,185,red,4,car
2270,137,green,2,bike
1107,158,green,2,bike
1615,156,green,2,car
2310,129,red,4,car
1269,132,green,4,car
1501,125,red,2,bike
2925,196,red,2,car
2884,116,red,2,bike
1526,154,blue,2,car
2139,163,blue,2,bike
2810,192,blue,2,car
1621,147,blue,4,bike
1445,118,green,2,bike
1844,153,red,2,car
1843,123,green,4,car
1416,114,blue,2,car
1355,185,blue,2,bike
1551,171,blue,2,car
1159,183,red,4,car
1778,164,red,4,car
1906,161,green,2,bike
2371,132,green,2,bike
2616,130,red,2,car
1111,185,green,4,bike
2895,176,green,2,car
2091,109,blue,2,car
1941,188,red,4,car
1301,199,red,4,bike
2535,146,blue,4,car
2148,183,green,4,car
1104,136,red,4,bike
1396,200,red,4,car
1594,171,green,4,bike
2100,120,red,4,bike
1599,168,red,4,car
2586,184,green,4,car
2952,197,blue,2,car
2241,177,blue,2,car
1730,120,blue,4,car
1214,142,green,2,car
2803,118,blue,4,bike
2132,113,blue,2,bike
1297,139,red,4,car
2848,142,blue,4,bike
2558,160,green,4,bike
1079,153,blue,4,car
1712,185,blue,2,car
2955,197,blue,2,car
1842,177,blue,2,bike
2043,192,blue,4,bike
2070,150,green,4,car
1242,199,red,2,car
2821,184,green,4,bike
2635,139,red,2,bike
2579,106,blue,2,car
1535,110,green,2,car
1395,106,red,4,bike
2537,156,blue,2,car
1319,159,green,4,car
1278,199,blue,4,car
2083,199,green,2,car
1548,171,red,4,car
2358,195,blue,4,bike
2557,148,blue,4,bike
1404,151,red,4,bike
1511,187,green,2,bike
1253,166,blue,4,car
2452,102,blue,4,bike
2405,136,red,2,car
2409,147,red,4,car
1371,103,green,4,bike
1190,122,green,2,bike
1506,161,blue,4,bike
1354,199,blue,2,bike
2422,133,red,4,bike
2627,159,red,2,bike
2939,155,red,2,bike
1332,116,blue,2,bike
1575,149,red,2,car
2243,181,blue,2,car
1683,186,red,2,car
1969,174,blue,4,car
1183,109,blue,4,car
1278,139,blue,4,car
1146,118,blue,2,bike
2709,108,blue,4,bike
2072,177,blue,4,car
2983,129,blue,4,car
2710,151,green,2,car
2185,184,red,2,car
2996,199,blue,2,car
2845,131,green,2,car
1597,176,blue,2,car
2507,115,green,2,car
1595,119,red,2,car
2865,130,red,4,car
1747,169,green,2,car
1361,175,red,2,bike
2678,199,red,2,car
2103,140,red,4,car
2996,120,green,2,bike
1784,152,blue,2,car
2885,174,blue,4,car
2507,193,green,2,car
2137,180,blue,4,bike
2322,102,red,2,car
1521,199,red,2,bike
1940,171,red,4,bike
2080,131,blue,2,car
1610,157,green,2,car
2357,129,blue,4,bike
1505,126,blue,4,bike
2059,165,green,4,bike
2802,136,red,2,car
2101,130,green,4,car
1219,191,green,4,bike
1820,176,blue,4,car
2990,181,blue,2,bike
2547,112,red,2,bike
2495,191,blue,4,car
1822,141,red,4,bike
1005,142,green,2,bike
1397,155,blue,2,car
2706,113,blue,4,bike
2461,154,red,4,car
2430,171,blue,4,bike
1109,164,blue,4,bike
1520,176,red,2,bike
2322,189,green,4,bike
2794,193,red,2,bike
2106,157,green,2,bike
2063,175,blue,4,bike
2930,107,blue,4,bike
2653,163,blue,4,bike
1261,153,green,2,car
2159,154,blue,2,car
2839,168,blue,2,car
1233,191,blue,4,bike
1348,114,green,2,bike
1842,124,green,4,bike
2476,190,green,2,car
2257,160,blue,2,bike
2967,159,blue,2,car
2702,160,green,2,bike
1133,185,red,2,bike
2717,142,blue,2,car
2137,180,green,2,bike
2069,181,green,2,car
1543,177,red,2,car
2648,142,red,4,bike
2262,141,blue,4,car
1150,197,blue,2,car
2052,155,green,2,car
2790,195,red,2,bike
1308,156,green,2,bike
2038,124,blue,4,bike
2072,109,blue,2,bike
1385,161,green,2,car
1960,133,blue,4,car
2887,123,green,2,car
2684,181,blue,2,bike
1595,147,green,4,bike
1893,101,green,4,bike
1750,102,blue,4,bike
1463,128,blue,2,bike
2538,191,red,2,bike
2047,139,red,4,car
2965,157,blue,4,car
1790,149,blue,2,bike
1585,138,red,4,car
1135,172,blue,2,car
2206,130,blue,4,bike
2201,170,green,2,bike
1111,168,green,2,car
1886,171,green,4,bike
2545,143,red,4,bike
2537,116,blue,2,bike
2242,200,red,4,car
2217,198,blue,2,car
1244,150,green,2,bike
1604,120,blue,2,car
1978,182,green,2,bike
2699,137,green,4,bike
2467,163,blue,2,bike
1926,117,green,2,bike
1248,148,red,2,car
2964,112,green,4,car
2124,125,green,4,car
2874,126,red,4,car
2886,169,green,4,bike
2483,118,green,2,bike
1003,182,red,2,bike
2261,149,blue,4,car
1524,116,red,4,car
2904,110,green,2,bike
1743,119,blue,4,car
2125,162,green,2,bike
1432,103,red,2,bike
1091,151,red,2,car
2715,143,green,4,car
1024,134,green,4,bike
2808,117,blue,4,bike
2071,168,green,2,bike
1984,118,green,2,car
1083,104,red,4,bike
1534,125,red,2,car
2407,147,blue,2,bike
1126,155,green,4,car
2533,158,blue,2,bike
2276,130,blue,2,car
1876,172,green,4,car
1367,170,red,2,bike
2223,105,green,2,car
1514,198,red,2,car
2166,158,red,4,car
2289,129,blue,2,bike
2676,177,blue,4,bike
1495,190,red,2,bike
2500,120,red,2,car
1642,137,green,2,bike
1401,100,red,4,car
2702,195,blue,4,bike
1631,193,red,2,bike
1137,176,green,4,car
1779,115,green,4,bike
2159,195,green,4,bike
1721,118,green,4,car
2845,185,red,4,bike
2866,164,red,4,bike
2624,165,red,2,bike
1683,166,green,2,car
1087,200,green,2,bike
1915,118,red,4,bike
1521,178,blue,2,bike
1855,108,red,2,car
1625,136,blue,2,car
1536,135,blue,4,car
2261,102,red,4,bike
2370,166,green,2,car
1102,188,blue,4,car
2393,198,blue,2,car
1412,146,red,2,car
1122,141,blue,4,car
2882,112,green,2,car
2274,174,red,2,car
2039,119,blue,4,bike
1802,137,blue,2,bike
2616,193,red,2,bike
2445,200,blue,4,bike
2374,175,green,2,car
1217,165,red,2,car
2732,134,red,4,car
1647,186,blue,2,car
1849,139,green,4,car
2763,102,red,4,car
2085,153,green,2,car
1500,102,green,2,car
1303,136,green,4,bike
1647,148,red,4,bike
1829,149,red,2,bike
2872,154,blue,4,car
2599,170,red,4,car
2061,126,blue,4,bike
1295,167,blue,2,car
2373,137,blue,2,car
2548,200,green,2,car
1329,149,green,4,bike
2032,123,green,4,bike
1737,157,blue,2,car
2284,100,red,4,car
2320,160,red,4,bike
1434,150,green,2,car
2766,197,red,4,bike
1852,195,blue,4,car
1080,183,green,2,bike
2752,149,green,4,bike
2310,138,red,4,bike
2166,155,red,4,bike
1138,142,green,2,car
1730,159,green,4,bike
2446,131,red,2,car
1064,115,green,2,car
1423,111,red,4,bike
2888,116,red,2,bike
2915,188,red,4,car
2183,118,blue,2,bike
1729,186,green,2,bike
1613,127,blue,4,bike
1842,184,green,2,car
2267,131,red,4,car
1278,190,green,4,bike
2129,144,blue,4,car
2923,130,blue,2,car
1533,142,green,4,car
2582,170,red,2,bike
1524,166,blue,4,bike
2154,130,green,4,car
1417,103,blue,4,bike
2463,191,green,4,bike
1669,174,green,4,car
2526,183,green,2,bike
2907,117,blue,2,car
2252,187,red,2,car
2784,172,red,2,car
2246,169,red,2,car
1556,198,blue,4,car
1943,159,red,2,car
1118,175,green,2,bike
2090,137,blue,2,car
2679,136,red,4,bike
1232,129,green,2,bike
1772,122,green,4,car
2289,132,green,4,bike
1091,107,blue,4,bike
1068,112,red,4,car
1282,104,red,4,car
1535,102,green,4,bike
2847,158,green,4,car
2839,139,green,4,bike
2414,109,blue,4,bike
1495,196,green,4,car
1653,157,blue,2,car
1039,116,red,4,bike
2324,187,green,4,bike
1094,195,blue,2,bike
1450,137,green,2,car
2758,137,green,4,bike
1879,187,blue,2,car
1789,180,blue,2,car
1399,150,green,4,bike
1576,152,green,4,car
2773,118,blue,4,car
1914,144,red,2,car
1170,176,red,2,car
1774,157,red,4,bike
2707,136,green,4,car
1339,192,red,4,bike
1103,158,green,4,bike
1356,198,red,2,car
1359,198,red,4,car
1423,131,red,4,car
1589,149,blue,4,bike
2834,138,blue,2,bike
2612,146,blue,2,car
2934,130,green,4,car
1184,137,red,2,bike
1276,196,red,4,car
2726,156,green,4,car
2195,122,green,2,car
1538,170,red,4,car
1466,105,green,4,car
1255,115,green,4,car
1657,120,green,2,bike
1865,177,red,4,car
1067,189,red,4,bike
1039,120,red,4,car
2095,142,green,2,car
2576,161,green,2,car
1117,104,red,4,car
1151,173,green,2,bike
1204,162,blue,2,car
1217,106,blue,4,car
1558,134,red,2,car
2387,128,green,4,bike
2508,119,red,2,bike
1902,113,red,2,bike
2652,177,green,4,car
2354,128,blue,2,bike
1922,151,red,2,car
1900,143,blue,2,car
1088,104,red,4,bike
2872,171,red,4,car
1407,168,red,4,car
1829,123,green,2,car
1255,189,green,2,car
1417,143,red,2,bike
2418,121,blue,4,bike
2494,103,green,4,car
2063,198,blue,4,bike
1488,150,red,4,car
1897,133,green,4,bike
1497,176,red,4,car
2425,110,blue,4,car
1296,125,green,2,car
2870,195,red,2,bike
2776,123,blue,2,car
1402,194,green,2,car
1836,111,green,2,bike
1080,124,red,4,car
1721,170,blue,2,car
2384,163,green,2,car
1524,170,green,2,bike
1631,126,red,2,bike
1564,198,blue,4,bike
1593,101,red,2,car
2084,101,red,4,car
2704,147,green,4,car
2932,159,green,2,bike
2621,145,blue,2,car
2378,151,green,4,car
1827,174,green,2,bike
2733,190,blue,4,car
2953,180,green,2,bike
1281,137,blue,2,car
1766,143,red,2,bike
2769,126,blue,2,bike
1205,176,green,4,bike
1412,104,red,2,bike
2178,191,blue,4,car
2987,166,red,4,bike
1183,107,blue,4,car
2335,189,green,4,car
2555,197,blue,4,car
2294,162,green,4,bike
1807,124,blue,4,car
1533,112,red,4,bike
2450,113,blue,2,car
1930,189,green,2,car
1897,181,red,2,car
1275,120,blue,2,bike
2578,110,green,2,bike
1083,165,green,4,bike
1237,197,red,4,bike
2646,125,green,2,car
2844,162,green,2,car
2739,161,red,2,bike
2822,123,red,2,bike
2667,200,red,2,bike
1108,197,blue,4,bike
2826,129,blue,4,bike
2156,102,red,4,bike
2326,109,green,4,bike
2114,122,blue,4,bike
1373,105,green,2,bike
1914,172,green,4,bike
2680,191,red,2,bike
1442,148,green,4,bike
2657,170,red,4,bike
2285,189,red,2,car
1849,101,green,4,car
2111,113,blue,4,bike
2687,171,red,2,bike
1994,137,blue,2,car
2956,191,red,2,bike
1978,109,green,2,bike
2153,176,red,4,bike
1887,144,green,2,bike
1642,195,blue,2,car
2267,107,green,2,car
2271,156,blue,4,car
2466,178,green,4,car
2677,120,red,2,car
1235,187,green,4,bike
2941,112,green,4,bike
1772,117,red,2,car
1244,152,blue,2,car
2147,103,green,2,bike
1000,200,blue,4,bike
1039,136,red,4,bike
2350,181,blue,2,car
1236,150,green,4,car
2824,107,green,4,bike
2119,135,red,2,car
1268,183,red,4,car
1003,123,red,2,car
1389,120,red,4,bike
1748,130,blue,4,car
1520,145,blue,2,car
2999,181,blue,2,bike
1011,109,red,4,car
2621,108,blue,4,car
1319,117,green,2,bike
1111,186,blue,4,car
1351,101,red,2,car
1354,111,green,4,car
1263,123,blue,4,bike
1349,124,red,2,car
2320,141,red,2,car
2278,127,blue,2,car
2980,187,red,2,car
1098,137,red,4,car
2092,110,red,4,bike
2114,181,blue,2,bike
2879,100,blue,2,bike
1159,192,red,2,bike
1408,123,green,4,bike
2591,109,green,4,car
2612,163,blue,4,car
1978,115,red,4,car
2356,152,blue,4,car
2019,142,blue,2,bike
2111,167,blue,2,bike
1919,114,green,4,car
1407,123,green,2,bike
2209,197,blue,4,bike
2302,105,green,4,car
1811,155,green,4,car
1556,136,blue,2,car
1792,190,red,2,bike
1706,172,blue,2,car
1678,106,green,2,bike
2240,175,red,4,car
1351,100,blue,2,bike
2543,147,green,2,bike
1748,109,red,2,car
2177,102,blue,2,bike
2226,161,blue,2,bike
1217,177,blue,2,car
1288,158,blue,4,car
1180,199,blue,2,bike
2815,133,red,4,car
1454,151,red,4,car
2904,129,green,2,car
1213,177,green,4,bike
1680,154,blue,4,bike
1057,110,red,2,bike
2367,125,blue,4,car
1391,180,red,4,bike
2704,179,red,2,bike
2468,107,blue,4,car
2713,160,blue,2,car
1929,166,red,4,bike
1582,109,blue,2,bike
2314,197,green,2,bike
1876,149,blue,4,car
1429,155,blue,2,bike
1943,172,blue,2,car
1475,107,blue,2,car
2200,198,blue,2,bike
1672,168,blue,2,bike
1598,110,red,2,car
2466,120,red,4,bike
1236,122,blue,2,car
2449,132,blue,2,bike
1140,168,green,4,car
2945,197,green,4,car
2834,122,red,4,car
2253,155,red,2,car
1067,114,green,4,car
2499,157,red,4,car
2645,153,blue,2,bike
2139,109,red,4,car
2570,118,red,2,car
1456,128,green,2,car
1393,148,red,4,bike
2435,147,blue,4,bike
2781,117,green,2,car
1908,120,red,2,car
2133,152,blue,2,bike
2193,191,red,2,bike
1621,112,blue,4,bike
1170,137,green,2,bike
1377,114,blue,2,car
2821,140,blue,2,bike
1096,143,red,2,car
2093,128,blue,2,bike
2273,165,blue,2,bike
2415,198,green,4,bike
2732,179,blue,2,bike
2289,114,blue,2,bike
1735,131,green,4,bike
1281,200,blue,4,bike
1093,193,blue,2,bike
2763,104,blue,2,bike
1635,127,blue,2,bike
1882,189,blue,4,car
2430,112,red,4,bike
1896,108,red,4,bike
2313,104,red,2,car
2735,196,green,2,car
1030,104,red,4,bike
2891,175,blue,4,bike
1363,124,blue,2,bike
1325,104,blue,4,bike
1873,148,green,2,bike
2129,194,red,2,car
2506,111,blue,4,car
1305,112,red,4,bike
2176,100,red,4,car
1885,134,blue,4,car
1185,172,blue,4,bike
3000,184,green,4,car
2097,185,blue,4,bike
2274,182,blue,4,car
1036,138,blue,2,car
1335,108,blue,4,bike
2339,147,green,4,car
2394,186,green,4,bike
1442,175,blue,4,bike
2353,124,green,4,bike
2991,184,red,4,car
1197,178,blue,2,bike
2892,188,blue,2,car
2485,158,green,4,car
1096,180,red,2,car
2735,135,blue,2,bike
2431,125,blue,2,bike
2417,123,blue,2,car
2171,146,green,2,bike
2212,141,green,4,car
1085,130,green,2,bike
1738,147,green,4,car
1872,159,red,2,bike
2144,173,red,2,car
1550,125,green,2,bike
1315,183,red,4,car
1397,112,blue,4,bike
1366,106,red,4,car
2622,149,green,4,car
1533,167,green,4,car
1160,106,red,2,car
1829,184,blue,4,bike
2708,105,red,4,car
2763,181,green,2,bike
1047,110,red,4,car
1711,166,green,4,bike
1391,163,red,2,car
1460,148,green,2,car
2957,189,red,4,bike
1766,108,blue,4,bike
1469,199,blue,4,car
2370,131,blue,2,car
2871,158,red,2,car
2005,172,green,4,bike
1645,173,red,2,bike
2379,159,blue,2,car
2757,131,green,2,car
1420,178,red,2,bike
2993,153,blue,4,bike
1902,114,blue,4,car
2668,110,red,4,bike
2149,133,red,4,bike
2467,185,green,2,bike
2254,169,blue,2,car
1906,120,red,2,car
2709,110,blue,4,car
2451,163,red,2,car
1145,141,blue,4,bike
1337,144,green,4,car
2148,160,blue,4,car
2343,137,red,4,bike
2397,192,red,4,bike
1423,159,red,2,bike
1969,182,red,4,bike
2331,105,green,4,bike
2399,144,red,4,bike
1802,125,green,4,car
2992,110,red,4,car
2254,156,blue,2,car
2437,135,green,2,car
